parents,clones,t1,t2,t3
297,297,12844,35965,62485
298,298,12815,42016,79632
299,299,12815,43132,81160
300,300,12806,57750,134770
301,301,12806,51093,111964
302,302,12796,63906,146173
303,303,12739,44405,73879
304,304,12700,36194,79510
305,305,12700,55903,117171
306,306,12633,51834,116529
307,307,12605,59711,107211
308,308,12605,58574,111229
309,309,12595,41515,75369
310,310,12480,53451,135638
311,311,12471,44207,92658
312,312,12442,54547,120415
313,313,12413,57082,113332
314,314,12375,54432,113162
315,315,12366,42872,66966
316,316,12308,31645,51894
317,317,12213,49883,113756
318,318,12184,59492,132356
319,319,12136,44917,70804
320,320,12098,54140,102882
321,321,12098,48819,121302
322,322,12050,45240,78293
323,323,12050,82561,185645
324,324,12031,39449,61184
325,325,11983,34994,58411
326,326,11964,47306,103523
327,327,11916,55121,146673
328,328,11907,33648,40406
329,329,11878,52230,98100
330,330,11868,41953,70352
331,331,11840,49758,112012
332,332,11830,45230,85933
333,333,11830,59586,121528
334,334,11801,53295,102533
335,335,11734,43362,77727
336,336,11696,39710,78991
337,337,11687,43602,75746
338,338,11610,42162,68861
339,339,11601,50968,113077
340,340,11601,53785,119689
341,341,11572,46836,96694
342,342,11553,37509,86140
343,343,11553,36924,69371
344,344,11534,44990,84046
345,345,11495,33826,53865
346,346,11486,54515,116680
347,347,11400,54912,107626
348,348,11400,46732,96185
349,349,11371,32386,49573
350,350,11352,45480,76039
351,351,11342,41046,85952
352,352,11323,37133,62297
353,353,11295,47181,109267
354,354,11285,45031,100335
355,355,11247,54442,134186
356,356,11189,39888,105258
357,357,11170,34389,43660
358,358,11161,45876,114124
359,359,11084,29047,29521
360,360,11036,45876,102636
361,361,11017,34827,43245
362,362,11017,29287,44027
363,363,11008,44541,101646
364,364,10960,39992,84716
365,365,10960,41369,84480
366,366,10912,45094,109031
367,367,10902,42506,58251
368,368,10874,46242,99609
369,369,10874,48620,101288
370,370,10864,41630,86404
371,371,10864,43852,93186
372,372,10836,46669,101580
373,373,10826,41630,97204
374,374,10797,56091,110719
375,375,10778,43195,101938
376,376,10778,28004,44829
377,377,10740,29475,31889
378,378,10654,42204,79981
379,379,10635,54599,99665
380,380,10625,50029,110154
381,381,10606,40430,61269
382,382,10596,36914,82358
383,383,10596,27691,52393
384,384,10587,42287,102891
385,385,10587,46262,98279
386,386,10587,45960,109493
387,387,10577,42694,86225
